artist,name,date,time,currency,min_price,max_price,venue_name,venue_city,venue_state
Sabrina Carpenter,SABRINA CARPENTER: SHORT N' SWEET TOUR,2024-09-29,19:00:00,USD,30.5,220.5,Madison Square Garden,New York,New York
Sabrina Carpenter,SABRINA CARPENTER: SHORT N' SWEET TOUR,2024-09-23,19:00:00,USD,30.5,199.5,Nationwide Arena,Columbus,Ohio
Sabrina Carpenter,SABRINA CARPENTER: SHORT N' SWEET TOUR,2024-10-13,19:00:00,USD,25.5,220.5,United Center,Chicago,Illinois
Sabrina Carpenter,SABRINA CARPENTER: SHORT N' SWEET TOUR,2024-10-03,19:00:00,USD,30.5,220.5,TD Garden,Boston,Massachusetts
Sabrina Carpenter,SABRINA CARPENTER: SHORT N' SWEET TOUR,2024-11-09,19:00:00,USD,30.5,199.5,Chase Center,San Francisco,California
Sabrina Carpenter,SABRINA CARPENTER: SHORT N' SWEET TOUR,2024-10-19,19:00:00,USD,30.5,199.5,Lenovo Center,Raleigh,North Carolina
Sabrina Carpenter,SABRINA CARPENTER: SHORT N' SWEET TOUR,2024-09-26,19:00:00,USD,25.5,194.5,Little Caesars Arena,Detroit,Michigan
Sabrina Carpenter,SABRINA CARPENTER: SHORT N' SWEET TOUR,2024-09-30,19:00:00,USD,30.5,220.5,Barclays Center,Brooklyn,New York
Sabrina Carpenter,SABRINA CARPENTER: SHORT N' SWEET TOUR,2024-10-08,19:00:00,USD,30.5,199.5,Wells Fargo Center,Philadelphia,Pennsylvania
Sabrina Carpenter,SABRINA CARPENTER: SHORT N' SWEET TOUR,2024-10-30,19:00:00,USD,30.5,199.5,American Airlines Center,Dallas,Texas
Sabrina Carpenter,SABRINA CARPENTER: SHORT N' SWEET TOUR,2024-10-24,19:00:00,USD,30.5,199.5,Kia Center,Orlando,Florida
Sabrina Carpenter,SABRINA CARPENTER: SHORT N' SWEET TOUR,2024-10-25,19:00:00,USD,30.5,178.75,Amalie Arena,Tampa,Florida
Sabrina Carpenter,SABRINA CARPENTER: SHORT N' SWEET TOUR,2024-10-05,19:00:00,USD,30.5,199.5,CFG Bank Arena,Baltimore,Maryland
Sabrina Carpenter,SABRINA CARPENTER: SHORT N' SWEET TOUR,2024-11-17,19:00:00,USD,30.5,220.5,Kia Forum,Inglewood,California
Sabrina Carpenter,SABRINA CARPENTER: SHORT N' SWEET TOUR,2024-10-28,19:00:00,USD,30.5,199.5,Moody Center ATX,Austin,Texas
Sabrina Carpenter,SABRINA CARPENTER: SHORT N' SWEET TOUR,2024-11-06,19:00:00,USD,30.5,199.5,Climate Pledge Arena,Seattle,Washington
Sabrina Carpenter,SABRINA CARPENTER: SHORT N' SWEET TOUR,2024-10-16,19:00:00,USD,30.5,199.0,Bridgestone Arena,Nashville,Tennessee
Sabrina Carpenter,SABRINA CARPENTER: SHORT N' SWEET TOUR,2024-11-13,19:00:00,USD,30.5,199.5,Footprint Center,Phoenix,Arizona
Sabrina Carpenter,SABRINA CARPENTER: SHORT N' SWEET TOUR,2024-10-22,19:00:00,USD,33.5,174.0,State Farm Arena,Atlanta,Georgia
Sabrina Carpenter,SABRINA CARPENTER: SHORT N' SWEET TOUR,2024-10-02,19:00:00,USD,30.5,199.5,XL CENTER,Hartford,Connecticut
Taylor Swift,Taylor Swift Tribute,2024-12-21,17:00:00,USD,,,The Biergarten at Old World HB,Huntington Beach,California
Taylor Swift,Swift - A Tribute to Taylor Swift,2024-10-26,19:00:00,USD,24.0,49.0,Bloomington Center for the Performing Arts,Bloomington,Illinois
Taylor Swift,The Taylor Party: Taylor Swift Night,2024-11-08,20:00:00,USD,25.0,25.0,9:30 CLUB,Washington,District of Columbia
Taylor Swift,SWIFT - A Tribute to Taylor Swift,2024-09-22,15:00:00,USD,25.0,45.0,Impact Fuel Room,Libertyville ,Illinois
Taylor Swift,The Taylor Party: Taylor Swift Night 18+,2025-01-11,21:00:00,USD,18.0,18.0,Ace of Spades,Sacramento,California
Taylor Swift,The Taylor Party: Taylor Swift Night - (21+),2024-12-28,20:00:00,USD,18.0,29.5,House of Blues Chicago,Chicago,Illinois
Taylor Swift,The Taylor Party: Taylor Swift Night (18+),2024-10-18,20:00:00,USD,3.5,25.0,House of Blues Myrtle Beach,North Myrtle Beach,South Carolina
Taylor Swift,The Taylor Party: Taylor Swift Night ( 18+ ),2025-01-03,20:00:00,USD,16.0,16.0,Big Night Live,Boston,Massachusetts
Taylor Swift,The Taylor Party: Taylor Swift Night | 18+,2024-12-21,21:00:00,USD,15.0,15.0,The Masquerade - Heaven,Atlanta,Georgia
Taylor Swift,Taylor's Story-Taylor Swift Tribute,2024-11-01,19:00:00,USD,25.0,25.0,LECOM Event Center,Elmira,New York
Taylor Swift,Tuff Taylor - A Taylor Swift Tribute,2024-12-27,21:15:00,USD,25.0,25.0,Joe's on Weed Street,Chicago,Illinois
Taylor Swift,The Taylor Party: Taylor Swift Night,2024-11-08,20:00:00,USD,15.0,15.0,Blind Pig,Ann Arbor,Michigan
Taylor Swift,The Taylor Swift Party,2024-11-08,21:00:00,USD,0.0,0.0,Fete Music Hall,Providence,Rhode Island
Taylor Swift,SHANIA/TAYLOR SWIFT TRIBUTE,2024-11-01,20:00:00,USD,20.0,20.0,Grizzly Rose,Denver,Colorado
Taylor Swift,Kanin Wren's Taylor Swift Experience,2024-09-27,20:00:00,USD,25.0,32.5,Blue Ocean Music Hall,Salisbury,Massachusetts
Morgan Wallen,Morgan Wallen: One Night At A Time 2024,2024-09-22,18:30:00,USD,54.75,555.75,Neyland Stadium,Knoxville,Tennessee
Morgan Wallen,Morgan Wallen: One Night At A Time 2024,2024-10-19,18:00:00,USD,69.75,349.75,Bank of America Stadium,Charlotte,North Carolina
Morgan Wallen,Morgan Wallen at The Piazza,2024-09-27,19:00:00,USD,40.0,360.0,The Piazza,Aurora,Illinois
Morgan Wallen,Whiskey Friends: The Morgan Wallen Experience,2024-10-04,20:00:00,USD,10.0,10.0,Joe's on Weed Street,Chicago,Illinois
